project-name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,fi-changes,ostrand,scattering,intensity,ana,acm,arl,boc,fch,frch,lch,wcd,wfr,tach,ataf,chd,lca,lcd,csb,csbs,acdf,cho,is-change-prone
lucene,2.2,org.apache.lucene.search.FuzzyQuery,10,3,0,13,42,7,1,12,9,0.638888889,280,0.5,0,0.72,0.285714286,3,4,26.6,6,1.4,49,2,42,0,1,1,2,0.900026216,0.969170998,0.4020787,0.027220215,0.351383836,0.978451186,0.049193312,0.73070462,0.970577396,0.432850059,0.645283182,0.475706388,0.04623938,0.089677232,0.692413864,1
lucene,2.2,org.apache.lucene.index.MultiLevelSkipListReader,10,1,1,4,21,0,1,3,1,0.619047619,477,1,1,0,0.5,0,0,45.3,2,1,61,1,39,0,3,2,4,0.014393684,0.424181484,0.592264017,0.294496861,0.465683102,0.828524282,0.348179694,0.401592354,0.717459241,0.168653056,0.069837842,0.394726949,0.241902725,0.662361414,0.441316534,0
lucene,2.2,org.apache.lucene.store.RAMDirectory,17,2,0,11,42,0,2,10,15,0.5625,393,0.333333333,0,0.586206897,0.352941176,1,5,21.94117647,2,0.8824,12,2,27,0,2,4,2,0.269662559,0.51545659,0.544814183,0.487380851,0.573073114,0.132837078,0.819955331,0.496943044,0.773828287,0.00741613,0.482566516,0.675146713,0.517062043,0.582209891,0.427000008,0
lucene,2.2,org.apache.lucene.search.spans.SpanQuery,5,2,5,17,7,10,12,6,4,2,14,0,0,0.75,0.466666667,1,1,1.8,1,0.8,67,2,29,1.4,1,7,4,0.507105076,0.479541539,0.49252964,0.20277987,0.709757893,0.496195458,0.987037233,0.583248156,0.991740568,0.674488936,0.530154444,0.6667559,0.090049873,0.576610642,0.603219133,0
lucene,2.2,org.apache.lucene.index.TermPositions,4,1,0,23,4,6,22,1,4,2,4,0,0,0,0.5,0,0,0,1,1,50,2,41,0,3,7,5,0.08227493,0.613209114,0.674851574,0.234994198,0.463492553,0.907096379,0.408650564,0.554129689,0.526184075,0.709065101,0.253455029,0.677433861,0.986685569,0.825200417,0.666811975,0
lucene,2.2,org.apache.lucene.search.function.DocValues,14,1,6,16,19,79,15,1,11,0.723076923,133,1,0,0,0.785714286,0,0,8.142857143,3,1,59,1,41,3.76,1,2,4,0.70500372,0.863700296,0.328737076,0.258242549,0.904399981,0.364101133,0.965549153,0.677123634,0.512965852,0.032938314,0.82250567,0.790440324,0.121482504,0.377253714,0.399161082,0
lucene,2.2,org.apache.lucene.analysis.standard.CharStream,12,1,0,3,12,66,3,0,12,2,12,0,0,0,0.583333333,0,0,0,1,1,22,1,2,0.07,1,1,5,0.580178448,9.96E-04,0.792815629,0.403718832,0.441568709,0.709239972,0.8831173,0.159994709,0.297380091,0.351289697,0.634824891,0.826237922,0.554636664,0.026102953,0.995935784,0
lucene,2.2,org.apache.lucene.analysis.standard.FastCharStream,14,1,0,2,25,3,1,1,13,0.602564103,237,0,0,0,0.404761905,0,0,15.5,1,0.9286,55,1,3,0.95,1,4,3,0.349300395,0.872119368,0.224826889,0.23118031,0.105432077,0.168447797,0.992752842,0.736582306,0.713657701,0.885506384,0.276990704,0.948845889,0.424796333,0.140589818,0.885115998,1
lucene,2.2,org.apache.lucene.search.FieldCacheImpl,14,1,0,22,29,67,9,22,12,0.897435897,199,0.333333333,12,0,0.403846154,0,0,12.35714286,1,0.8571,63,1,21,5.64,1,5,4,0.332825218,0.237471508,0.432339675,0.595066922,0.755928613,0.099031268,0.731531464,0.772177565,0.915196912,0.938031397,0.849500257,0.41672512,0.057613234,0.953547962,0.533297078,0
lucene,2.2,org.apache.lucene.document.LoadFirstFieldSelector,2,1,0,2,3,1,0,2,2,2,7,0,0,0,0.75,0,0,2.5,1,0.5,40,2,25,0.57,3,1,5,0.573284281,0.689195464,0.316752121,0.905152099,0.716443732,0.444167054,0.380152256,0.388432039,0.255575344,0.789244745,0.154910678,0.978194434,0.750074662,0.807316991,0.740276036,0
lucene,2.2,org.apache.lucene.index.SegmentInfo,18,1,0,12,44,0,8,4,4,0.678733032,981,0.461538462,1,0,0.243055556,0,0,52.77777778,4,1.3333,23,1,25,0,2,2,1,0.179187206,0.15157364,0.430573372,0.281724461,0.333532553,0.394431422,0.039164501,0.107797187,0.720343127,0.426375781,0.249261165,0.411378094,0.73061715,0.856287533,0.921918942,0
lucene,2.2,org.apache.lucene.store.BufferedIndexInput,15,2,2,4,30,21,3,1,9,0.705357143,438,0.625,0,0.538461538,0.328571429,1,4,27.66666667,7,1.2667,13,1,26,0,1,8,3,0.469705752,0.463455683,0.14798608,0.105301023,0.962424175,0.75636096,0.843475772,0.517495422,0.409597404,0.604446783,0.856776423,0.708684482,0.79502114,0.726477675,0.881309646,0
lucene,2.2,org.apache.lucene.index.TermInfosWriter,6,1,0,9,29,0,2,7,0,0.45,395,0.666666667,5,0,0.479166667,0,0,62.83333333,1,0.6667,95,1,8,0,3,8,4,0.420138925,0.542717735,0.948690619,0.460871634,0.878306947,0.528044686,0.915141147,0.453022291,0.571338086,0.739247814,0.147851237,0.40581623,0.118087074,0.632140646,0.568179713,0
lucene,2.2,org.apache.lucene.index.DefaultSkipListReader,8,2,0,3,15,0,1,2,0,0.571428571,158,1,0,0.5625,0.425,1,3,17.875,1,0.875,69,2,3,1.21,2,5,5,0.908159225,0.632752851,0.315030183,0.97667447,0.613395184,0.181747319,0.554433902,0.201179971,0.685604738,0.132342838,0.380316363,0.555311406,0.74109264,0.449403768,0.326619532,1
lucene,2.2,org.apache.lucene.search.MultiSearcher,16,2,1,22,53,0,2,21,14,0.466666667,577,1,1,0.594594595,0.23125,1,5,34.875,6,1.25,23,2,14,0.15,3,1,1,0.260840347,0.130992724,0.742397328,0.557503099,0.219777088,0.15356379,0.169197239,0.222641862,0.099394841,0.028107115,0.903985635,0.84461601,0.23503131,0.246938549,0.131070811,1
lucene,2.2,org.apache.lucene.search.Searchable,11,1,0,18,11,55,6,12,11,2,11,0,0,0,0.263636364,0,0,0,1,1,73,1,16,4.25,2,1,5,0.602465941,0.499460764,0.362921767,0.512544452,0.958043827,0.040105044,0.442477301,0.894048577,0.71236324,0.002795695,0.02848434,0.358687795,0.039632086,0.77366214,0.31060027,0
lucene,2.2,org.apache.lucene.search.MultiPhraseQuery,17,2,0,12,55,12,3,10,13,0.625,407,1,0,0.428571429,0.158823529,2,4,22.70588235,7,2.0588,100,1,16,0,2,6,4,0.503119714,0.757356205,0.682439266,0.577748321,0.911700004,0.002215089,0.238437571,0.769635225,0.213302846,0.185643352,0.254358791,0.487131235,0.978160571,0.403470001,0.261454533,0
lucene,2.2,org.apache.lucene.store.IndexOutput,15,1,2,19,18,105,19,0,15,2,196,0,0,0,0.311111111,0,0,12.06666667,1,0.9333,58,2,22,4.99,3,8,5,0.428056779,0.05566966,0.930741927,0.332727939,0.027355275,0.87571933,0.746554353,0.862389703,0.367406639,0.811995713,0.367467272,0.475863785,0.448001197,0.036999832,0.647896318,1
lucene,2.2,org.apache.lucene.analysis.WordlistLoader,4,1,0,2,17,6,2,0,4,2,147,0,0,0,0.333333333,0,0,35.75,1,0.75,16,3,10,1.4,2,1,3,0.487856298,0.833829779,0.525109745,0.512191855,0.080697262,0.489204048,0.364093642,0.444742551,0.854310852,0.608471515,0.896652149,0.123313438,0.787020777,0.460426683,0.591321847,0
lucene,2.2,org.apache.lucene.search.spans.TermSpans,8,1,0,6,19,0,3,3,8,0.666666667,160,1,2,0,0.34375,0,0,18.25,3,1.125,11,1,29,0.05,1,1,3,0.98935516,0.058381326,0.14712327,0.711907159,0.068245675,0.688827166,0.816869115,0.868787756,0.156919378,0.510156314,0.43469318,0.121147382,0.315713324,0.661289429,0.34765964,0
lucene,2.2,org.apache.lucene.analysis.LowerCaseFilter,2,3,0,4,5,1,1,3,2,2,21,0,0,0.8,0.75,0,0,9.5,1,0.5,94,2,33,0,3,6,2,0.28736323,0.043694344,0.932757618,0.989193708,0.524887745,0.57016041,0.01828151,0.906035069,0.001009637,0.209827244,0.322542162,0.539532146,0.55512596,0.601348409,0.973050266,1
lucene,2.2,org.apache.lucene.index.MultiReader,28,2,0,17,61,0,1,16,17,0.682539683,664,1,1,0.697674419,0.157738095,1,9,22.46428571,6,1.3929,65,2,4,0,2,7,1,0.437159652,0.354704596,0.27575778,0.857949918,0.267194895,0.417062488,0.166639133,0.106693373,0.845619344,0.039209171,0.196838828,0.956924713,0.120566296,0.946474321,0.477807677,1
lucene,2.2,org.apache.lucene.search.spans.SpanScorer,7,2,1,7,25,0,2,5,5,0.520833333,201,1,2,0.571428571,0.30952381,1,3,26.57142857,1,0.8571,34,1,32,0,2,7,4,0.147770356,0.291685393,0.744294978,0.178209581,0.06252056,0.847583638,0.580759658,0.678485429,0.92421489,0.682262057,0.900707931,0.734395164,0.791090925,0.253568463,0.968661574,1
lucene,2.2,org.apache.lucene.search.spans.SpanNearQuery,12,3,0,8,47,0,2,8,12,0.590909091,353,1,0,0.592592593,0.208333333,2,2,28.08333333,7,1.75,32,2,19,0.85,3,8,3,0.536026996,0.45705051,0.610904594,0.44022998,0.723879391,0.666901538,0.773853185,0.384993776,0.336640715,0.22049956,0.257837648,0.934480355,0.254775199,0.11451407,0.279281073,0
lucene,2.2,org.apache.lucene.document.Document,17,1,0,24,39,0,22,2,17,0.5,415,0.5,0,0,0.426470588,0,0,23.29411765,5,2.5882,85,2,43,0,3,6,3,0.181406977,0.90418841,0.495704984,0.943111269,0.130607684,0.927288159,0.265686634,0.963537955,0.691850009,0.010338839,0.20983912,0.384568966,0.029764232,0.757158985,0.589079708,0
lucene,2.2,org.apache.lucene.queryParser.CharStream,12,1,0,3,12,66,3,0,12,2,12,0,0,0,0.583333333,0,0,0,1,1,58,1,43,0,2,7,2,0.981654818,0.368327745,0.622897838,0.367947179,0.674804985,0.695108227,0.633029177,0.562582993,0.801416767,0.892481692,0.81688745,0.384817713,0.061105216,0.603329673,0.530301519,0
lucene,2.2,org.apache.lucene.search.PhrasePositions,5,1,0,6,12,0,5,1,0,0.678571429,95,0,2,0,0.533333333,0,0,16.6,1,0.8,12,3,20,0.34,3,5,2,0.309184734,0.079434082,0.190549671,0.245506869,0.633556966,0.024848644,0.298379064,0.698679026,0.923828887,0.233326936,0.621643695,0.560598926,0.493360882,0.283876201,0.283388555,0
lucene,2.2,org.apache.lucene.search.SloppyPhraseScorer,4,3,0,9,19,0,3,7,0,0.555555556,326,1,1,0.869565217,0.34375,1,1,79.75,4,1.5,85,2,37,0,2,3,3,0.968264451,0.657137871,0.35365445,0.818447993,0.966939666,0.640179372,0.556971818,0.232932273,0.0595627,0.29841398,0.876458336,0.359479271,0.11900437,0.610748878,0.160629554,1
lucene,2.2,org.apache.lucene.index.FieldInfos,20,1,0,18,51,164,12,6,16,0.940789474,482,0.25,0,0,0.261111111,0,0,22.7,8,1.5,81,1,22,4.81,2,5,1,0.452980356,0.587693686,0.320477783,0.798061196,0.041804799,0.82204539,0.342069369,0.867007322,0.796938705,0.457897679,0.133855831,0.692729701,0.002595173,0.006105748,0.178089777,0
