wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,fi-changes,ostrand,scattering,intensity,ana,acm,arl,boc,fch,frch,lch,wcd,wfr,tach,ataf,chd,lca,lcd,csb,csbs,acdf,cho,is-change-prone
166,1,0,44,392,6747,16,34,88,0.886537506,8474,0.737704918,12,0,0.07003367,0,0,49.68072289,7,1.3795,59,2,11,9.5,1,6,1,0.033397065,0.360260281,0.468810422,0.994546404,0.0467513,0.571786757,0.848999838,0.491830875,0.351977438,0.778715691,0.719882598,0.051334779,0.823893357,0.180199179,0.163960564,0
64,3,1,39,183,1464,13,33,28,0.903737839,2234,0.580645161,13,0.605095541,0.139194139,2,15,33.421875,30,1.6719,70,1,8,10,1,3,4,0.70503225,0.106575892,0.717845865,0.528598619,0.220272956,0.94681073,0.43629555,0.603295184,0.666855042,0.976192468,0.143987428,0.564071126,0.313915635,0.559295556,0.766303122,1
76,1,4,128,131,2812,104,25,62,0.946666667,722,0.571428571,1,0,0.100833333,0,0,8.407894737,12,1.1579,14,3,35,10,1,8,3,0.849005044,0.051845114,0.236829442,0.545398085,0.168609096,0.480006562,0.241984602,0.646766697,0.025525672,0.736754794,0.982120981,0.438687226,0.418014221,0.602359923,0.203651797,0
15,2,0,24,41,0,4,20,14,0.357142857,205,0.5,1,0.676470588,0.18974359,1,3,12.53333333,1,0.7333,67,4,60,0,2,6,3,0.633956217,0.369659912,0.988193761,0.611503428,0.547835585,0.234673131,0.172413826,0.595239351,0.109168567,0.899236521,0.816212847,0.951090954,0.958081911,0.024737957,0.837074555,0
38,4,0,30,97,553,22,10,28,0.93799682,729,0.411764706,1,0.686956522,0.162162162,1,2,17.73684211,6,1.2895,35,2,32,7.5,3,8,2,0.757059634,0.274644327,0.784853689,0.328604005,0.137448334,0.688409501,0.743971984,0.683255351,0.125131111,0.04047919,0.518936658,0.710126758,0.53185148,0.655492645,0.584290714,1
27,2,0,20,64,167,13,11,22,0.761538462,446,1,0,0.333333333,0.102564103,2,6,15.33333333,12,1.5926,21,2,14,9.1,2,6,4,0.076987583,0.874413719,0.761550296,0.465264319,0.939148576,0.99620701,0.223378955,0.277907399,0.027784507,0.055807062,0.219194728,0.674085588,0.51207187,0.241511944,0.866600879,1
25,2,2,20,82,160,5,18,8,0.881944444,596,0.833333333,5,0.768421053,0.197916667,2,8,22.36,3,1.08,3,4,53,5.5,1,4,1,0.047656948,0.103565208,0.459476135,0.483199595,0.701409673,0.960572498,0.006256325,0.769372096,0.790160724,0.071533066,0.130883949,0.811746206,0.721465283,0.20864778,0.044098095,0
76,1,0,53,185,1998,18,46,0,0.941202186,2835,0.409836066,12,0,0.069866667,0,0,35.5,23,2.0132,68,2,18,10,1,8,3,0.452756832,0.239699435,0.024181707,0.958082727,0.369824878,0.208682939,0.733979228,0.980974732,0.226370732,0.189496284,0.744942879,0.907947635,0.283465833,0.87988605,0.83916036,0
29,2,2,18,97,114,8,10,24,0.846428571,1037,0.8,0,0.413043478,0.267857143,1,8,34.4137931,3,1.0345,72,4,53,9.1,1,7,2,0.94105744,0.501473524,0.016763193,0.3948824,0.963236571,0.076571088,0.648809407,0.598785044,0.864803969,0.563630469,0.884680118,0.013693038,0.148739284,0.650548198,0.248224187,0
13,1,0,15,96,60,0,15,8,0.763888889,1498,0.5,1,0,0.1875,0,0,113.7692308,3,1.0769,66,3,67,8.6,1,2,4,0.862500131,0.228685338,0.338331501,0.937732415,0.375646659,0.700342681,0.687309464,0.12074467,0.37210904,0.308563941,0.124383907,0.040784612,0.79748405,0.620523774,0.441839654,1
7,1,2,28,17,19,26,2,5,0.833333333,72,0,0,0,0.388888889,0,0,9,1,0.7143,9,3,31,7.5,1,6,3,0.905068723,0.144388928,0.767762457,0.474332444,0.603908145,0.814424606,0.812038443,0.825325377,0.027955693,0.740250652,0.071213047,9.90E-04,0.617513496,0.183534441,0.153006509,0
9,2,0,10,26,0,3,8,8,0.3125,143,0,2,0.6,0.222222222,2,4,14.66666667,5,1.3333,68,1,17,8.1,1,6,2,0.032442182,0.199041221,0.612728366,0.634879744,0.901198131,0.756844556,0.081528657,0.259718884,0.750577998,0.448632571,0.010368958,0.389739146,0.458119475,0.073429033,0.053791617,0
37,3,1,22,95,0,4,20,21,0.71031746,1118,1,1,0.730769231,0.126689189,2,11,29.02702703,6,1.2973,76,1,69,9.1,1,5,5,0.222428341,0.496680152,0.974010632,0.18553249,0.356271891,0.181541675,0.958543704,0.74755774,0.173098872,0.702333297,0.413549143,0.214354492,0.85971705,0.3675101,0.620227667,0
15,1,0,9,22,0,8,1,14,0.900793651,286,0.222222222,3,0,0.380952381,0,0,16.86666667,7,0.8,6,4,58,7.5,3,9,1,0.506179114,0.803133682,0.123093917,0.316403985,0.398498337,0.977708723,0.356617849,0.416167543,0.270635726,0.685382888,0.810681665,0.166809477,0.459270607,0.946891417,0.985493091,1
